
                                      CodeAnalysis - Version 1.8
    ==============================================================================================
     Wed Dec  5 23:36:57 2018
     Path: "C:\Users\Souradeepta Biswas\Google Drive\Syracuse\Semester 2\CSE 681 SMA\Projects\Project 4\Project4_v8"
     Args: *.h, *.cpp, *.cs, /v, /m, /r, /f, /p
                                                                               
           Code Metrics - Start Line, Size (lines/code), and Complexity (number of scopes)
    ==============================================================================================

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
                             namespace                   Global Namespace       1       1    1507

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
                  App.g.cs   namespace                          Navigator      35      35       4
                  App.g.cs       class                                App      41      29       3
                  App.g.cs    function       DebuggerNonUserCodeAttribute      48       8       1
                  App.g.cs    function                 STAThreadAttribute      63       5       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
                App.g.i.cs   namespace                          Navigator      35      35       4
                App.g.i.cs       class                                App      41      29       3
                App.g.i.cs    function       DebuggerNonUserCodeAttribute      48       8       1
                App.g.i.cs    function                 STAThreadAttribute      63       5       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
               App.xaml.cs   namespace                    NavigatorClient      10       8       2
               App.xaml.cs       class                                App      15       3       1
               App.xaml.cs   namespace                    NavigatorClient      10       8       2
               App.xaml.cs       class                                App      15       3       1
               App.xaml.cs   namespace                    NavigatorClient      10       8       2
               App.xaml.cs       class                                App      15       3       1
               App.xaml.cs   namespace                          Navigator      10       8       2
               App.xaml.cs       class                                App      15       3       1
               App.xaml.cs   namespace                    NavigatorClient      10       8       2
               App.xaml.cs       class                                App      15       3       1
               App.xaml.cs   namespace                    NavigatorClient      10       8       2
               App.xaml.cs       class                                App      15       3       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
          BlockingQueue.cs   namespace                            SWTools      49      91      17
          BlockingQueue.cs       class                      BlockingQueue      51      55      11
          BlockingQueue.cs    function                      BlockingQueue      58       3       1
          BlockingQueue.cs    function                                enQ      64       7       2
          BlockingQueue.cs    function                               lock      66       4       1
          BlockingQueue.cs    function                                deQ      77      12       3
          BlockingQueue.cs    function                               lock      80       8       2
          BlockingQueue.cs    function                               size      93       5       2
          BlockingQueue.cs    function                               lock      94       2       1
          BlockingQueue.cs    function                              clear     101       3       2
          BlockingQueue.cs    function                               lock     101       2       1
          BlockingQueue.cs       class                            Program     109      30       5
          BlockingQueue.cs    function                               Main     111      26       4

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
            CodePopUp.g.cs   namespace                          Navigator      35      54       6
            CodePopUp.g.cs       class                          CodePopUp      41      48       5
            CodePopUp.g.cs    function       DebuggerNonUserCodeAttribute      58      13       2
            CodePopUp.g.cs    function       DebuggerNonUserCodeAttribute      78       9       2

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
          CodePopUp.g.i.cs   namespace                          Navigator      35      54       6
          CodePopUp.g.i.cs       class                          CodePopUp      41      48       5
          CodePopUp.g.i.cs    function       DebuggerNonUserCodeAttribute      58      13       2
          CodePopUp.g.i.cs    function       DebuggerNonUserCodeAttribute      78       9       2

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
         CodePopUp.xaml.cs   namespace                    NavigatorClient      22       9       3
         CodePopUp.xaml.cs       class                          CodePopUp      24       7       2
         CodePopUp.xaml.cs    function                          CodePopUp      26       3       1
         CodePopUp.xaml.cs   namespace                          Navigator      22       9       3
         CodePopUp.xaml.cs       class                          CodePopUp      24       7       2
         CodePopUp.xaml.cs    function                          CodePopUp      26       3       1
         CodePopUp.xaml.cs   namespace                    NavigatorClient      22       9       3
         CodePopUp.xaml.cs       class                          CodePopUp      24       7       2
         CodePopUp.xaml.cs    function                          CodePopUp      26       3       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
                CsGraph.cs   namespace                            CsGraph      23     340      67
                CsGraph.cs       class                             CsEdge      28      10       4
                CsGraph.cs    function                             CsEdge      33       4       1
                CsGraph.cs       class                             CsNode      40      60      18
                CsGraph.cs    function                             CsNode      52       5       1
                CsGraph.cs    function                           addChild      60       3       1
                CsGraph.cs    function               getNextUnmarkedChild      66      11       3
                CsGraph.cs    function                   hasUnmarkedChild      80      10       3
                CsGraph.cs    function                             unmark      90       4       1
                CsGraph.cs    function                           ToString      95       3       1
                CsGraph.cs       class                          Operation     103      17       3
                CsGraph.cs    function                           doNodeOp     107       4       1
                CsGraph.cs    function                           doEdgeOp     114       4       1
                CsGraph.cs       class                            CsGraph     123     172      35
                CsGraph.cs    function                            CsGraph     140       6       1
                CsGraph.cs    function                       setOperation     149       5       1
                CsGraph.cs    function                            addNode     157       3       1
                CsGraph.cs    function                     findNodeByName     163       8       2
                CsGraph.cs    function                         clearMarks     174       4       1
                CsGraph.cs    function                               walk     181      24       4
                CsGraph.cs    function                               walk     208      25       5
                CsGraph.cs    function                      strongConnect     234      35       6
                CsGraph.cs    function                   strongComponents     270      10       2
                CsGraph.cs    function                   showDependencies     281      12       3
                CsGraph.cs       class                      demoOperation     298       8       2
                CsGraph.cs    function                           doNodeOp     300       4       1
                CsGraph.cs       class                               Test     306      57       4
                CsGraph.cs    function                               Main     308      53       3

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
               DemoReqs.cs   namespace                       CodeAnalysis      38     109      10
               DemoReqs.cs       class                          Executive      42     105       9
               DemoReqs.cs    function                 ProcessCommandline      46      21       4
               DemoReqs.cs    function                          testToker      69       3       1
               DemoReqs.cs    function                    ShowCommandLine      74       9       2
               DemoReqs.cs    function                               Main      85      60       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
        DependencyTable.cs   namespace                       CodeAnalysis      37      95      16
        DependencyTable.cs       class                    DependencyTable      39      93      15
        DependencyTable.cs    function                          addParent      47       6       1
        DependencyTable.cs    function                                add      56      16       3
        DependencyTable.cs    function                           contains      75       3       1
        DependencyTable.cs    function                              clear      81       3       1
        DependencyTable.cs    function                               show      87      20       3
        DependencyTable.cs    function                   depDisplayFormat     108      22       4
        DependencyTable.cs       class                TestDependencyTable     133      10       2
        DependencyTable.cs    function                               Main     136       4       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
                Display.cs   namespace                       CodeAnalysis      49     145      29
                Display.cs       class                          StringExt      55       8       2
                Display.cs    function                           Truncate      57       4       1
                Display.cs       class                            Display      64     130      26
                Display.cs    function                            Display      66      10       1
                Display.cs    function                   showMetricsTable      89      29       2
                Display.cs    function                  displaySemiString     121      11       2
                Display.cs    function                      displayString     135       7       1
                Display.cs    function                      displayString     145       4       1
